date,recession
1967q1,
1967q2,
1967q3,
1967q4,0
1968q1,0
1968q2,0
1968q3,0
1968q4,0
1969q1,0
1969q2,1
1969q3,1
1969q4,1
1970q1,1
1970q2,1
1970q3,1
1970q4,1
1971q1,0
1971q2,0
1971q3,0
1971q4,0
1972q1,0
1972q2,0
1972q3,0
1972q4,0
1973q1,0
1973q2,0
1973q3,0
1973q4,1
1974q1,1
1974q2,1
1974q3,1
1974q4,1
1975q1,1
1975q2,0
1975q3,0
1975q4,0
1976q1,0
1976q2,0
1976q3,0
1976q4,0
1977q1,0
1977q2,0
1977q3,0
1977q4,0
1978q1,0
1978q2,0
1978q3,0
1978q4,0
1979q1,0
1979q2,1
1979q3,1
1979q4,1
1980q1,1
1980q2,1
1980q3,0
1980q4,0
1981q1,0
1981q2,1
1981q3,1
1981q4,1
1982q1,1
1982q2,1
1982q3,0
1982q4,0
1983q1,0
1983q2,0
1983q3,0
1983q4,0
1984q1,0
1984q2,0
1984q3,0
1984q4,0
1985q1,0
1985q2,0
1985q3,0
1985q4,0
1986q1,0
1986q2,0
1986q3,0
1986q4,0
1987q1,0
1987q2,0
1987q3,0
1987q4,0
1988q1,0
1988q2,0
1988q3,0
1988q4,0
1989q1,0
1989q2,0
1989q3,0
1989q4,1
1990q1,1
1990q2,1
1990q3,1
1990q4,1
1991q1,1
1991q2,0
1991q3,0
1991q4,0
1992q1,0
1992q2,0
1992q3,0
1992q4,0
1993q1,0
1993q2,0
1993q3,0
1993q4,0
1994q1,0
1994q2,0
1994q3,0
1994q4,0
1995q1,0
1995q2,0
1995q3,0
1995q4,0
1996q1,0
1996q2,0
1996q3,0
1996q4,0
1997q1,0
1997q2,0
1997q3,0
1997q4,0
1998q1,0
1998q2,0
1998q3,0
1998q4,0
1999q1,0
1999q2,0
1999q3,0
1999q4,0
2000q1,0
2000q2,0
2000q3,0
2000q4,0
2001q1,1
2001q2,1
2001q3,1
2001q4,0
2002q1,0
2002q2,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
