日期,中石油波动上限,中石油波动下限
2019/11/1,6.270409242,5.412206419
2019/11/4,6.319999823,5.528592369
2019/11/5,6.359734029,5.535050685
2019/11/6,6.232538749,5.405851773
2019/11/7,6.312703957,5.360488045
2019/11/8,6.150959179,5.359235147
2019/11/11,6.149181061,5.282191077
2019/11/12,6.072410568,5.221409976
2019/11/13,6.041666883,5.109264363
2019/11/14,6.04038895,5.238256945
2019/11/15,5.902908614,5.131287321
2019/11/18,5.97162215,5.146128242
2019/11/19,5.955835085,5.072717957
2019/11/20,5.895133086,5.067962613
2019/11/21,6.025519459,5.179430817
2019/11/22,6.034473837,5.209610571
2019/11/25,6.163214275,5.260512172
2019/11/26,6.117249317,5.27430826
2019/11/27,6.133517104,5.306549635
2019/11/28,6.072175301,5.186385231
2019/11/29,5.983475874,5.170553453
2019/12/2,6.030950905,5.141430362
2019/12/3,6.010581074,5.098317264
2019/12/4,5.98290639,5.218937568
2019/12/5,6.088092699,5.150741437
2019/12/6,6.030418157,5.214502415
2019/12/9,6.117253598,5.198049756
2019/12/10,6.142233937,5.235717085
2019/12/11,6.100263493,5.278180402
2019/12/12,5.9915037,5.189050228
2019/12/13,6.121427503,5.231803585
2019/12/16,6.203747971,5.395061662
2019/12/17,6.302451257,5.440881685
2019/12/18,6.216954322,5.430313906
2019/12/19,6.177786181,5.418055122
2019/12/20,6.285109689,5.416264824
2019/12/23,6.103501196,5.35575614
2019/12/24,6.143182466,5.248747558
2019/12/25,6.182757515,5.300708477
2019/12/26,6.125714874,5.303670868
2019/12/27,6.241411608,5.402370308
2019/12/30,6.181905013,5.339346015
2019/12/31,6.256768558,5.429256422
2020/1/2,6.267652453,5.485148899
2020/1/3,6.391823747,5.590507123
2020/1/6,6.644082638,5.753430747
2020/1/7,6.575869091,5.650231378
2020/1/8,6.713953814,5.776104943
2020/1/9,6.472893485,5.68021085
2020/1/10,6.478537907,5.522097804
2020/1/13,6.424876141,5.612593368
2020/1/14,6.422060825,5.589548917
2020/1/15,6.258195923,5.447496428
2020/1/16,6.223787181,5.352073377
2020/1/17,6.195319826,5.419789364
2020/1/20,6.280468175,5.499947997
2020/1/21,6.278394187,5.433526558
2020/1/22,6.143020047,5.32362433
2020/1/23,6.069119205,5.175504293
2020/2/3,5.611767891,4.720821321
2020/2/4,5.648989327,4.815883444
2020/2/5,5.664112516,4.849630611
2020/2/6,5.663700156,4.809686966
2020/2/7,5.719005873,4.79196796
2020/2/10,5.673187579,4.800411217
2020/2/11,5.738612041,4.814346323
2020/2/12,5.665891838,4.862605865
2020/2/13,5.715050888,4.886419693
2020/2/14,5.657725097,4.858482932
2020/2/17,5.854247445,4.933423395
2020/2/18,5.775971186,4.878436
