id,cafe,dishname,price,meat,cat,stu_price,campus
2532,枫园风味食堂,新农牛肉,120,荤,份儿菜,120,文理学部
2534,枫园风味食堂,黑木耳,120,荤,小吃,120,文理学部
1268,湖滨风味食堂,羊肉火锅,68,荤,份儿菜,68,文理学部
2309,桂园清真食堂,新疆大盘鸡,60,荤,份儿菜,60,文理学部
1269,湖滨风味食堂,卤牛肉火锅,58,荤,份儿菜,58,文理学部
1392,医学部食堂（一楼）,大盘鸡（大）,58,荤,份儿菜,58,医学部
2528,枫园风味食堂,韩式部队火锅,58,荤,份儿菜,58,文理学部
2587,医学部食堂（二楼）,韩式部队火锅,58,荤,套餐,58,医学部
2540,枫园风味食堂,周黑鸭（鸭脖）,56,荤,小吃,56,文理学部
2535,枫园风味食堂,周黑鸭（整只）,53,荤,小吃,53,文理学部
2033,工学部清真食堂,大盘鸡,50,荤,份儿菜,50,工学部
2310,桂园清真食堂,新疆小盘鸡,50,荤,份儿菜,50,文理学部
2332,桂园清真食堂,凉拌牛肉,50,荤,份儿菜,50,文理学部
2539,枫园风味食堂,毛嘴卤鸡,50,荤,小吃,50,文理学部
2537,枫园风味食堂,周黑鸭（鸭锁骨）,49,荤,小吃,49,文理学部
2541,枫园风味食堂,周黑鸭（鸭掌）,49,荤,小吃,49,文理学部
1270,湖滨风味食堂,铁板烤鱼,48,荤,份儿菜,48,文理学部
1271,湖滨风味食堂,松滋鸡,48,荤,份儿菜,48,文理学部
1315,湖滨风味食堂,特色烤鱼,48,荤,套餐,48,文理学部
1393,医学部食堂（一楼）,大盘鸡（中）,48,荤,份儿菜,48,医学部
1395,医学部食堂（一楼）,清真烤鱼,48,荤,份儿菜,48,医学部
1216,湖滨风味食堂,羊肉麻辣香锅,45,荤,份儿菜,45,文理学部
2072,工学部清真食堂,新疆特色烤鱼,45,荤,份儿菜,45,工学部
2561,医学部食堂（二楼）,羊肉锅仔,42,荤,份儿菜,42,医学部
2536,枫园风味食堂,周黑鸭（鸭翅）,41,荤,小吃,41,文理学部
2034,工学部清真食堂,中盘鸡,40,荤,份儿菜,40,工学部
2317,桂园清真食堂,孜然羊肉,40,荤,份儿菜,40,文理学部
2538,枫园风味食堂,香樟鸡（半片）,40,荤,小吃,40,文理学部
1217,湖滨风味食堂,牛杂麻辣香锅,38,荤,份儿菜,38,文理学部
