Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
World,WLD,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,9.245735228,9.213541119,9.181091601,9.143911002,9.125822118,9.080246295,9.016787325,8.947080908,8.879423237,8.810252274,8.738594362,8.666039641,8.590834352,8.511651788,..
World,WLD,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,9.759451918,9.71790016,9.675135491,9.6284691,9.599510639,9.544618894,9.472930018,9.395060973,9.318908627,9.240261461,9.158909781,9.076480057,8.991527454,8.903117121,..
World,WLD,"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,8.888270459,8.813833708,8.744281831,8.679777414,8.632830807,8.597556918,8.572445367,8.550340576,8.521629174,8.496317416,8.464696889,8.425669078,8.380029462,8.329578885,..
World,WLD,"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,9.363050293,9.289550785,9.221051871,9.155995794,9.106342422,9.066787865,9.035789544,9.00667696,8.970678212,8.936974834,8.897077216,8.849660653,8.79541637,8.736129694,..
World,WLD,"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,8.768540707,8.665096766,8.574654383,8.487333643,8.400440166,8.319855175,8.246700535,8.183516425,8.132887997,8.096417514,8.071679224,8.055752663,8.042350056,8.025325865,..
World,WLD,"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,9.207149201,9.10214742,9.0105249,8.923755379,8.837736857,8.759192059,8.688681796,8.627580026,8.577482127,8.537033453,8.507555525,8.486294201,8.467299207,8.444617409,..
World,WLD,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,9.047800842,8.835951094,8.633555765,8.466386411,8.32607814,8.213243939,8.122279586,8.040050457,7.958751263,7.881609969,7.80938032,7.745411698,7.693808281,7.656040534,..
World,WLD,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,9.408356144,9.204389829,9.010536032,8.851400406,8.716580944,8.606654109,8.517332532,8.437330558,8.359780811,8.284063678,8.213768145,8.152206958,8.102524093,8.065416064,..
World,WLD,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,8.626055281,8.699508968,8.723713894,8.683163264,8.593133262,8.444373338,8.261213538,8.081884125,7.930734294,7.808232225,7.710174686,7.630729075,7.558471535,7.486983155,..
World,WLD,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,8.869202555,8.951366218,8.98394405,8.952148431,8.877027654,8.744054727,8.576455567,8.410900298,8.270960298,8.159657687,8.068256711,7.99161916,7.920559166,7.850743983,..
World,WLD,"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,7.746158394,7.784051549,7.839316851,7.903062175,7.97318291,8.05600195,8.129706459,8.162367252,8.136410507,8.061045409,7.929708063,7.765560997,7.605526425,7.471798675,..
World,WLD,"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,7.895545741,7.938514933,7.998706221,8.067091374,8.14755579,8.242076993,8.328480319,8.3746575,8.363070575,8.305939664,8.194831943,8.051368208,7.910001824,7.791047358,..
World,WLD,"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,7.417335646,7.328455987,7.259179598,7.222327682,7.214559593,7.234058422,7.275785148,7.331587787,7.394699744,7.468711554,7.555680349,7.634752147,7.675967477,7.661978938,..
World,WLD,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,7.52549003,7.435345667,7.365406053,7.328791648,7.320779103,7.342051403,7.388285694,7.451341218,7.523900332,7.60728803,7.706111374,7.799858215,7.858489919,7.864146328,..
World,WLD,"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,7.178388119,7.153654091,7.114478805,7.062184318,6.995841326,6.917102629,6.838647637,6.779163277,6.749749142,6.74782573,6.771311872,6.816134368,6.875778213,6.943856344,..
World,WLD,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,7.230429239,7.214187939,7.183121219,7.136071193,7.069127126,6.987115117,6.904177558,6.841531524,6.812010788,6.811779815,6.83900307,6.889388803,6.956471944,7.034416491,..
