ID,601919.symbol,601919.name,601919.date,601919.open,601919.high,601919.low,601919.close,601919.close_prev,601919.change_pct,601919.volume,601919.amount,601919.turnover,601919.cap_market,601919.cap_total,601919.close_adj,601919.unit,600519.symbol,600519.name,600519.date,600519.open,600519.high,600519.low,600519.close,600519.close_prev,600519.change_pct,600519.volume,600519.amount,600519.turnover,600519.cap_market,600519.cap_total,600519.close_adj,600519.unit,601857.symbol,601857.name,601857.date,601857.open,601857.high,601857.low,601857.close,601857.close_prev,601857.change_pct,601857.volume,601857.amount,601857.turnover,601857.cap_market,601857.cap_total,601857.close_adj,601857.unit
1,601919.SS,中远海控,2019/7/3,5.2,5.2,5.05,5.06,5.16,-1.938,18154699,92304697,0.2378,38636512246,62033217889,3.66581,CNY,600519.SS,贵州茅台,2019/7/3,1020,1023,981.5,987.9,1025,-3.6195,6713932,6717755678,0.5345,1.24E+12,1.24E+12,957.0616,CNY,601857.SS,中国石油,2019/7/3,6.9,6.9,6.86,6.88,6.91,-0.4342,73325455,504150611,0.0453,1.11E+12,1.26E+12,6.172633,CNY
2,601919.SS,中远海控,2019/7/4,5.12,5.37,5.07,5.12,5.06,1.1858,39767753,207034415,0.5208,39094652708,62768789642,3.709278,CNY,600519.SS,贵州茅台,2019/7/4,985.8,990.8,971.22,981.2,987.9,-0.6782,4621668,4531686001,0.3679,1.23E+12,1.23E+12,950.5708,CNY,601857.SS,中国石油,2019/7/4,6.88,6.91,6.87,6.9,6.88,0.2907,67376194,463766206,0.0416,1.12E+12,1.26E+12,6.190577,CNY
3,601919.SS,中远海控,2019/7/5,5.24,5.29,5.12,5.16,5.12,0.7813,28694485,148829346,0.3758,39400079682,63259170811,3.738256,CNY,600519.SS,贵州茅台,2019/7/5,986,1006,976.3,999.82,981.2,1.8977,5003271,4968920475,0.3983,1.26E+12,1.26E+12,968.6095,CNY,601857.SS,中国石油,2019/7/5,6.89,6.9,6.83,6.86,6.9,-0.5797,115304483,791068412,0.0712,1.11E+12,1.26E+12,6.154689,CNY
4,601919.SS,中远海控,2019/7/8,5.1,5.11,4.84,4.87,5.16,-5.6202,30036027,148131016,0.3934,37185734119,59703907336,3.528161,CNY,600519.SS,贵州茅台,2019/7/8,995.05,997.9,975,984.86,999.82,-1.4963,3361352,3313713091,0.2676,1.24E+12,1.24E+12,954.1165,CNY,601857.SS,中国石油,2019/7/8,6.85,6.86,6.72,6.75,6.86,-1.6035,118396878,801808842,0.0731,1.09E+12,1.24E+12,6.055999,CNY
5,601919.SS,中远海控,2019/7/9,4.83,4.87,4.77,4.81,4.87,-1.232,15087583,72629990,0.1976,36727593657,58968335582,3.484693,CNY,600519.SS,贵州茅台,2019/7/9,979.3,989,968.35,976.06,984.86,-0.8935,3172332,3103986405,0.2525,1.23E+12,1.23E+12,945.5912,CNY,601857.SS,中国石油,2019/7/9,6.74,6.75,6.7,6.71,6.75,-0.5926,67967523,456469486,0.042,1.09E+12,1.23E+12,6.020112,CNY
6,601919.SS,中远海控,2019/7/10,4.81,4.84,4.73,4.74,4.81,-1.4553,14132182,67371630,0.1851,36193096452,58110168536,3.43398,CNY,600519.SS,贵州茅台,2019/7/10,980.93,990.58,977,982.52,976.06,0.6618,2816670,2774054724,0.2242,1.23E+12,1.23E+12,951.8496,CNY,601857.SS,中国石油,2019/7/10,6.72,6.72,6.64,6.66,6.71,-0.7452,67042587,447810897,0.0414,1.08E+12,1.22E+12,5.975252,CNY
7,601919.SS,中远海控,2019/7/11,4.75,4.83,4.71,4.75,4.74,0.211,11256666,53670125,0.1474,36269453196,58232763828,3.441224,CNY,600519.SS,贵州茅台,2019/7/11,989.96,998.38,976,981.5,982.52,-0.1038,3051419,3011117079,0.2429,1.23E+12,1.23E+12,950.8614,CNY,601857.SS,中国石油,2019/7/11,6.68,6.71,6.66,6.67,6.66,0.1502,67040408,448215733,0.0414,1.08E+12,1.22E+12,5.984224,CNY
8,601919.SS,中远海控,2019/7/12,4.78,4.82,4.72,4.8,4.75,1.0526,12486081,59721284,0.1635,36651236914,58845740290,3.477448,CNY,600519.SS,贵州茅台,2019/7/12,981.3,991.5,980.01,986.09,981.5,0.4677,2817385,2778937975,0.2243,1.24E+12,1.24E+12,955.3081,CNY,601857.SS,中国石油,2019/7/12,6.67,6.69,6.64,6.67,6.67,0,48044859,320410969,0.0297,1.08E+12,1.22E+12,5.984224,CNY
9,601919.SS,中远海控,2019/7/15,4.81,4.96,4.71,4.95,4.8,3.125,20105125,97506689,0.2633,37796588067,60684669674,3.586118,CNY,600519.SS,贵州茅台,2019/7/15,967.8,980.1,951.13,975.93,986.09,-1.0303,5987040,5785726590,0.4766,1.23E+12,1.23E+12,945.4653,CNY,601857.SS,中国石油,2019/7/15,6.66,6.67,6.57,6.64,6.67,-0.4498,72128654,477702043,0.0445,1.08E+12,1.22E+12,5.957309,CNY
10,601919.SS,中远海控,2019/7/16,4.94,4.99,4.91,4.98,4.95,0.6061,15533219,76971935,0.2034,38025658298,61052455551,3.607852,CNY,600519.SS,贵州茅台,2019/7/16,975.45,982.3,965,968,975.93,-0.8126,3324524,3226755644,0.2646,1.22E+12,1.22E+12,937.7828,CNY,601857.SS,中国石油,2019/7/16,6.63,6.64,6.61,6.62,6.64,-0.3012,47802359,316777657,0.0295,1.07E+12,1.21E+12,5.939365,CNY
