20 June 2022  13:37:32,,,,2000m01,2000m02,2000m03,2000m04,2000m05,2000m06,2000m07,2000m08,2000m09,2000m10,2000m11,2000m12,2001m01,2001m02,2001m03,2001m04,2001m05,2001m06,2001m07,2001m08,2001m09,2001m10,2001m11,2001m12,2002m01,2002m02,2002m03,2002m04,2002m05,2002m06,2002m07,2002m08,2002m09,2002m10,2002m11,2002m12,2003m01,2003m02,2003m03,2003m04,2003m05,2003m06,2003m07,2003m08,2003m09,2003m10,2003m11,2003m12,2004m01,2004m02,2004m03,2004m04,2004m05,2004m06,2004m07,2004m08,2004m09,2004m10,2004m11,2004m12,2005m01,2005m02,2005m03,2005m04,2005m05,2005m06,2005m07,2005m08,2005m09,2005m10,2005m11,2005m12,2006m01,2006m02,2006m03,2006m04,2006m05,2006m06,2006m07,2006m08,2006m09,2006m10,2006m11,2006m12,2007m01,2007m02,2007m03,2007m04,2007m05,2007m06,2007m07,2007m08,2007m09,2007m10,2007m11,2007m12,2008m01,2008m02,2008m03,2008m04,2008m05,2008m06,2008m07,2008m08,2008m09,2008m10,2008m11,2008m12,2009m01,2009m02,2009m03,2009m04,2009m05,2009m06,2009m07,2009m08,2009m09,2009m10,2009m11,2009m12,2010m01,2010m02,2010m03,2010m04,2010m05,2010m06,2010m07,2010m08,2010m09,2010m10,2010m11,2010m12,2011m01,2011m02,2011m03,2011m04,2011m05,2011m06,2011m07,2011m08,2011m09,2011m10,2011m11,2011m12,2012m01,2012m02,2012m03,2012m04,2012m05,2012m06,2012m07,2012m08,2012m09,2012m10,2012m11,2012m12,2013m01,2013m02,2013m03,2013m04,2013m05,2013m06,2013m07,2013m08,2013m09,2013m10,2013m11,2013m12,2014m01,2014m02,2014m03,2014m04,2014m05,2014m06,2014m07,2014m08,2014m09,2014m10,2014m11,2014m12,2015m01,2015m02,2015m03,2015m04,2015m05,2015m06,2015m07,2015m08,2015m09,2015m10,2015m11,2015m12,2016m01,2016m02,2016m03,2016m04,2016m05,2016m06,2016m07,2016m08,2016m09,2016m10,2016m11,2016m12,2017m01,2017m02,2017m03,2017m04,2017m05,2017m06,2017m07,2017m08,2017m09,2017m10,2017m11,2017m12,2018m01,2018m02,2018m03,2018m04,2018m05,2018m06,2018m07,2018m08,2018m09,2018m10,2018m11,2018m12,2019m01,2019m02,2019m03,2019m04,2019m05,2019m06,2019m07,2019m08,2019m09,2019m10,2019m11,2019m12,2020m01,2020m02,2020m03,2020m04,2020m05,2020m06,2020m07,2020m08,2020m09,2020m10,2020m11,2020m12,2021m01,2021m02,2021m03,2021m04,2021m05,2021m06,2021m07,2021m08,2021m09,2021m10,2021m11,2021m12,2022m01,2022m02,2022m03,2022m04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volumes, seasonally adjusted",,"Values 2010, usd bln",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World trade,tgz_w1_qnmi_sn,14481.27599,,63.8747792,65.01435346,65.06396871,65.51582951,67.71686884,66.53503081,67.47752745,68.71243197,68.64832462,69.48914028,69.72684628,69.6921197,69.75449401,68.92798974,68.55279022,67.84873291,67.4699891,67.23734902,66.4633274,66.67248315,65.41032638,66.55479683,66.33254577,65.17127758,66.78896517,67.54326464,67.75780341,68.86193773,68.33494131,69.48918727,70.09232825,70.04264037,70.67138642,70.72857014,71.63947222,70.41734011,72.11060463,71.8052352,71.76721118,72.09423916,72.1328792,71.72405813,72.99206712,71.93747529,74.54544535,75.87400016,75.9843533,77.526496,77.27028444,78.7452921,79.36079353,80.01951285,80.28629143,81.72255579,81.28665611,80.74659448,81.67517377,82.32070487,83.31994824,84.24424149,84.01919073,83.53220741,83.74472024,86.01882485,86.1931965,86.56586488,85.62627811,87.03746488,87.59694665,88.28849375,89.25713202,91.41977864,91.16569595,92.02691152,93.15551086,93.1744182,93.51894163,94.40148038,93.28047808,94.69044795,95.78426914,95.95471819,97.39231582,97.56165854,98.26780883,98.52783934,98.31273088,98.66680151,99.01420956,99.74366892,99.98097136,101.08263,100.5730596,101.80018,102.0337941,101.4176806,104.7168933,103.8625513,101.6339602,103.4423729,103.193805,102.10262,103.4925073,102.4905024,101.5414248,100.5262826,93.97513903,88.46730257,84.52949265,84.52854828,83.87288742,84.81397167,83.77278226,85.99992185,88.00228362,87.90162227,91.04739186,92.41665547,92.44858108,94.8834848,94.64332335,95.72132391,97.4472459,97.83135549,100.0609026,101.3503959,100.7695187,101.1299503,101.2294385,102.732465,103.6273303,103.4567499,104.6765579,103.9542972,104.7576167,103.7095374,104.7927031,104.3000408,105.0607628,106.1433267,105.1402976,104.9813027,104.8626365,104.936015,104.6365204,105.1469057,106.0253607,104.6170868,107.5967553,106.9587153,106.6048549,106.6126838,107.080334,106.2298003,106.4388317,106.4021339,108.496233,107.3950641,108.1287436,108.5489446,108.7192638,107.5578906,108.6631491,109.2330985,108.5978732,109.8041942,109.9107503,109.3740521,110.5247277,110.2977729,109.9246315,110.9241739,110.7884694,110.7433576,111.7688428,111.5373953,113.447199,113.199094,112.6721546,113.9834201,113.9607335,113.8232942,112.5826985,113.0491348,111.5917613,113.4746776,113.753975,113.5673278,114.2550894,114.7307588,113.6445626,115.1285457,113.2553907,114.8370238,113.4357583,114.1912988,113.8378905,115.3631606,113.8142876,116.1312967,115.6804926,115.1544999,117.7440173,118.8324434,118.0523273,117.7901241,120.4978032,118.5892591,120.5842533,120.6255318,120.2345491,121.5600508,121.8947314,120.6336717,124.0373006,124.6354825,124.5937593,123.869994,123.1100359,123.8270897,125.2472207,125.1920095,126.1193527,126.5170297,125.2799224,127.2255024,124.85174,122.910422,124.8184669,123.5449779,124.4865812,123.9872749,125.7787761,123.227408,125.2907553,125.5011396,124.41076,125.2468315,123.5152371,123.6856075,120.8056378,120.8567282,118.0114087,104.3461916,104.2969788,112.1276083,117.5159487,119.8102934,123.2540871,123.6200364,125.2092004,126.0485348,126.8067907,126.619787,130.6618975,130.0182124,128.9054745,129.9188473,128.8530132,129.9809458,129.6663705,130.5250429,133.6376257,135.4990959,134.0908859,134.5447008,133.3190479,133.9881315
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World imports,mgz_w1_qnmi_sn,14600.39028,,64.02803319,65.32597544,65.42105696,65.93334935,68.25281377,66.86636311,67.99536407,69.13481279,69.23622717,70.07583512,70.31108456,70.2132576,70.32428312,69.1007609,68.93276494,68.43179267,67.74240684,67.53749903,66.81806761,66.62402077,65.75120367,66.89679399,66.7378329,65.17292673,66.96197022,68.11796945,67.92168923,69.42740596,68.47687047,69.98096198,70.32590511,70.40686043,71.15992892,70.87522645,72.18175606,71.32650713,72.86525251,72.36282558,72.94184658,72.93223146,72.79773379,72.774371,73.86847222,72.45966359,75.29364475,76.49801217,77.0210089,78.51981559,78.78776405,80.09061854,80.56799049,81.58754564,81.35238925,83.36853225,82.52496311,82.00402744,82.84961007,83.78583181,84.84704723,85.66504853,85.51955619,85.17859095,85.14390345,87.45236696,87.94554846,87.50349976,86.75602982,88.523683,88.74436233,89.80671336,90.91879757,92.5381468,92.63557848,93.37279581,93.77375765,94.2993571,94.88479584,95.27797087,94.35578721,95.69869799,96.6552352,96.87187573,98.32867706,98.54682908,98.88686289,99.81795462,100.1668945,99.9516312,100.2591186,100.9676805,101.3358383,101.7718182,101.4523689,102.7260809,102.7644835,102.2959989,105.6694951,104.830427,102.7785502,104.2146759,103.2233993,102.6418159,103.7977506,102.5720048,102.0080757,101.6729215,95.5814522,89.98415452,86.27100137,84.87591814,83.93064995,85.20213592,84.18990051,86.27475727,87.96226073,88.18602504,91.56294693,92.63013089,92.79674151,95.18109311,94.35351645,95.49475444,98.03088447,97.92088642,100.198755,101.4210898,100.6801521,101.3405659,101.3394184,102.6343926,103.6350468,102.9505376,104.8837062,103.4085761,104.3413936,103.0429675,104.8317841,103.6962925,103.985238,105.5273789,104.1945484,104.6966883,104.3834107,103.9403918,103.8400349,104.0369578,105.1174776,103.567964,106.7771678,106.1173137,106.3132043,106.1426775,106.7027941,105.8389474,106.2143309,105.91255,108.0373143,106.5785471,107.3989642,108.0114878,107.9289659,106.7402022,108.4206414,107.8350651,108.1139779,108.7975453,108.6864332,108.4713869,110.1982765,109.4050697,109.6133626,110.1368601,109.6678191,110.057565,110.4261696,110.4205087,112.9132712,111.9441389,111.5775574,112.8266966,111.3646022,111.2444146,112.8596585,112.0332911,109.9491188,112.4876942,112.6538327,113.0836253,113.078882,113.7849751,113.0863471,113.8571026,111.5316479,113.4175933,112.3650037,112.539777,112.7677512,114.7706732,112.6741554,115.3720202,115.0430771,114.4180064,116.6619825,117.8783271,117.1551001,116.7534364,119.0253991,117.6885653,119.96911,119.7743762,119.8206067,120.8335581,121.2427568,120.7022443,123.4514725,124.2959548,123.636433,123.4036068,123.2496939,123.5221351,125.116327,124.4427167,126.4786297,126.5173917,124.8034003,127.0572511,124.0465264,122.514382,124.540556,123.3659897,123.5729612,124.5814866,125.0270114,122.8019053,125.1581352,125.585924,124.1168189,124.5104441,122.9178644,122.3866552,121.7998905,120.8392521,117.056452,105.7403656,104.7476306,111.9021992,116.5161554,118.5951026,122.2307254,122.7383203,124.9918243,125.7344075,125.6256914,126.2599686,130.9657531,130.4147767,129.5736219,130.5310243,129.1316885,130.1679286,130.0917316,130.2924328,133.8751428,136.9772246,135.8579638,135.5478162,134.1751287,135.3758643
  Advanced economies,mgz_i1_qnmi_sn,10384.61172,,73.93949634,74.73114919,75.39712836,76.09249928,78.80089379,76.74508063,77.89942843,79.02545976,79.35034262,80.23323283,80.29510535,80.87858717,79.93724945,78.5688411,78.26734167,77.53320849,76.58169007,76.45389407,76.02304216,75.38810774,74.70598424,75.95344708,75.61505173,74.03530961,75.41562515,76.86763564,76.68235078,77.6266157,76.57921162,79.11464832,78.57778569,78.87124108,79.17974219,79.0431676,80.52097272,80.0844037,80.71374074,80.17935221,81.20867399,80.90126258,80.84596007,80.97758488,81.75089853,79.98281369,82.57167703,83.93334362,84.89586727,85.87115677,84.99584384,86.4960099,87.65888201,89.06641564,88.51692567,89.90958105,89.40751808,88.82912357,89.75523961,90.54951791,91.54032363,92.16348163,92.0697995,91.55575776,90.82473955,93.33636819,93.74564408,93.17463904,92.49145302,93.50239548,94.71876119,95.6235801,96.84444049,98.99401142,98.70288608,99.0308776,99.41888361,100.3669813,100.9815794,100.6540743,99.57543448,100.4429456,101.5253606,101.9911621,102.7365845,104.3377682,103.5191142,104.894102,104.7007224,104.1663473,104.5278401,105.2033021,105.1540032,105.1116601,105.1711896,105.8512899,105.9803748,106.2370694,108.456261,108.2143775,106.6400277,106.2749807,105.4459998,104.5104927,105.4353312,104.0148535,103.8412872,103.6093968,98.68846336,93.46874988,90.01235076,88.10134224,86.71747841,86.63259234,85.24245878,86.13003793,88.40244367,88.99829561,92.23969603,92.81790736,93.44986166,94.52515082,94.62214201,95.3177969,97.78173445,97.3620394,101.0878074,101.9913258,100.913496,101.5874807,101.3225621,102.2759308,103.2344172,102.5032672,104.5898132,102.9359316,103.6698913,102.5708856,104.460876,103.0729839,104.1569384,104.9277799,103.6763992,104.1945391,103.4442677,103.1205591,103.6761692,103.2161808,103.6673206,103.2236841,104.6760122,104.201132,104.3178632,104.5595783,104.3954015,102.8907501,103.2684089,103.038749,103.9068267,103.3147157,102.1567905,103.4039303,104.0809529,104.0552905,104.7413569,104.6485862,105.2426717,105.3923334,105.9640222,105.6907832,106.5815188,105.6326375,107.0387072,107.2307699,106.8651603,107.293843,108.0405308,107.7671077,109.0330616,108.6517418,108.8011856,110.5831734,110.4907064,110.5618405,112.0716461,111.15761,109.8439162,110.656657,111.3904285,111.7435843,112.2006679,112.9075207,111.8730813,111.587133,111.9220361,114.0359251,111.8286386,112.7267901,112.3876622,114.0115144,113.1460856,114.884673,114.0442889,113.3920453,114.8392773,114.3005534,115.0783174,114.3068118,116.1124238,116.0797331,118.5744452,118.1002855,118.8352511,119.5482976,119.5359208,118.7777982,120.7476606,121.926405,121.2253005,120.7209321,120.6150503,120.7680158,121.2787827,121.2038707,121.8963767,121.3746733,120.6164589,122.6115509,120.7614543,121.9670013,122.1469063,121.0077887,121.6617643,120.3366061,122.1585613,120.4574334,121.9312677,121.915407,121.1120495,121.0878138,119.0071062,118.6827917,118.8264608,117.9759047,113.4092351,100.5199612,101.6803483,107.6496265,113.5963793,115.9958747,118.6318996,119.9078252,122.3671855,122.0436416,121.2805398,121.4392633,125.0825729,124.8491602,124.7985737,125.1949876,124.0123188,125.2491951,124.9757672,125.2269262,129.3464486,132.9589324,131.9363745,130.8680806,131.6987595,133.1426419
    Euro Area,mgz_e6_qnmi_sn,3984.067609,,80.47172873,80.85701876,81.55074407,81.26719779,86.27840075,81.47011059,83.59227368,85.19918087,85.17458184,86.87689198,87.40867809,89.46611806,86.84297034,85.3719773,85.54531756,85.52685397,84.48393747,84.47107134,84.00943044,82.62653152,82.47576914,83.0465359,83.37924104,81.42127823,81.93537871,83.43011869,82.78230301,83.28271179,80.54934594,84.95996836,83.13484572,83.68836005,84.60946053,85.22724845,85.39220136,84.69753964,85.64823608,85.81894342,86.74886793,85.5661146,86.15349512,85.66635678,86.54232463,84.00682389,86.26544823,88.56392433,89.88722674,89.54743888,88.27909603,90.63401274,90.51431783,92.88634008,91.5342159,92.46781594,92.26803151,91.6869161,93.84534849,93.54352504,94.70790215,95.57344,94.91332463,93.22121158,93.33075832,96.6938898,96.19770888,95.49119257,94.29675418,95.61249257,97.39987339,96.79572228,98.96013204,102.3134691,99.24169367,100.7120894,100.8839036,102.2296326,102.4125955,103.2324975,102.5303548,102.7928319,104.5638357,106.334889,106.6860338,108.6748884,106.8561928,109.2245507,107.1814779,107.4533784,108.2986864,108.4261553,108.0299698,109.1148321,108.5476244,108.8773937,108.6949548,109.5040306,111.6596521,110.3844955,109.0619171,109.1493086,108.4748201,107.069804,107.7683845,106.6076761,106.6136537,104.8415288,100.7724317,95.84782372,93.35814687,92.79031314,90.16130089,89.78121733,88.8225052,89.08296883,90.38666004,91.27233319,93.35229634,94.64097303,94.07986812,94.76329153,95.53036321,94.73780033,98.42747005,97.93460686,101.6560013,101.1717119,100.0911278,100.6177635,100.7283171,102.4948815,104.4664966,102.1434599,103.5174234,103.2025648,102.8445841,103.2624573,103.4237078,102.6103442,103.337493,104.3567557,103.2477465,101.9043954,101.5704953,100.1200842,98.77298634,101.0495427,100.2775396,99.35541215,100.8412478,99.85882038,99.85099245,100.9912988,97.67570796,98.92260797,97.34768888,97.92385745,99.42663308,97.66954444,96.81015091,98.05747906,98.52184918,98.62036097,99.54992396,99.84328138,99.47646909,99.35241347,99.82346918,100.0637559,101.2089354,100.3908423,99.94735399,100.1818899,100.6294738,101.9888744,101.8218721,101.7882653,102.7434582,101.3937286,101.1258715,101.9271667,103.3126849,104.09799,104.8140943,103.8538365,104.4130716,103.7394844,105.0262676,104.6188362,106.0173504,106.5608361,105.4560051,106.0283149,107.0702273,108.9624201,106.2068505,107.1279793,106.5048686,107.0176178,107.0485753,108.6954712,107.7592079,107.5598817,108.896283,107.3799625,108.5361257,108.4984694,109.4279851,108.6796981,112.361143,110.0038776,111.6791271,113.546485,112.1273229,112.7071196,113.8108101,113.3842877,113.2406926,112.4997746,112.2492739,113.6287325,113.2608008,114.1528532,114.7755891,114.4742607,112.7894433,114.1967484,112.6576016,114.8805332,115.1566347,114.1530831,114.1820373,113.0816016,114.0954985,113.7402783,114.1852284,113.0417287,113.8617358,113.3268657,112.2130466,110.2853612,111.9976763,112.4681475,100.5207813,85.11409366,91.85137481,99.51105365,103.7506856,107.0779957,108.8700213,109.3638296,110.7573843,109.5784733,108.0400115,108.9464345,113.3204605,112.6097443,113.7846582,112.8607228,111.6281188,113.6968051,113.2130735,115.8774077,119.2319603,123.5031111,118.1608826,119.1273605,117.9822262,123.4810968
    United States,mgz_us_qnmi_sn,1913.858,,76.33506953,76.47603186,78.9293394,80.10445047,80.1903455,81.74232315,82.00416773,82.09104936,83.25857258,83.32054438,81.69979419,82.01569552,83.43730197,79.86366872,82.37921999,79.80144585,77.19338489,77.36963901,77.50341917,76.66404096,75.40756005,77.48777512,77.50626863,75.26669021,77.63333654,79.45258985,78.34636553,80.91522025,81.18576389,82.67223863,81.77459842,83.632611,82.72238793,80.63776111,85.82563746,86.4038101,83.92305687,82.10379273,84.51173691,85.44774629,85.60652185,85.45440102,86.39711169,83.85490779,87.37426962,88.37250819,88.49261803,90.52785697,89.05423082,91.16501448,94.16724514,93.87196424,94.15125118,97.21642959,95.76406731,95.33296973,95.009497,96.79686248,99.37589074,99.61890725,100.3814395,101.6774064,96.54391123,100.2069357,99.96402685,100.1929926,98.8768256,98.7180732,100.047709,103.2363757,103.8244595,105.6751049,106.9297011,104.7358562,106.3547032,104.4955554,105.1453926,105.247571,105.0872153,106.9697459,108.0461072,107.6524601,107.8746199,109.3543038,109.0841123,108.0724809,110.9963132,108.0294153,107.9626182,108.0857881,107.1060623,107.3055555,107.6281711,107.3376192,107.0063446,106.0121691,107.9429181,110.2001979,104.2957786,105.8390662,103.4737519,102.1621544,104.7500256,103.5579062,101.4491789,106.7846457,99.62838676,96.68012013,90.84457296,85.70204234,85.30398077,83.50297428,80.82336716,80.93398513,86.57772968,84.54110511,89.31558805,90.56285094,91.91826536,94.34571685,92.70888548,95.12856304,96.93128578,95.69677264,99.22692459,103.0028506,101.3911489,104.0643339,103.6260098,103.4022349,101.469863,103.3511273,106.8231595,102.3805652,103.451941,100.736685,102.9632801,103.6540841,103.7491408,104.0614843,104.2033103,105.1167913,104.6627198,106.7079466,107.0980356,104.4007948,108.4050676,106.1155018,106.9554181,108.2408834,108.3426713,106.773086,106.5802729,104.6310155,108.9646953,107.0054852,107.715125,108.4016943,103.5861789,106.70661,108.9041278,107.0310056,107.5053827,107.326986,108.7911317,109.3770313,109.2530901,108.4628281,109.9780587,109.362196,112.3308532,113.9017817,112.3337743,110.8561811,111.7532306,112.1171049,113.9460192,115.5905261,115.919071,120.5783032,119.9441965,116.2237894,125.6466653,120.5675074,117.7191015,119.5817265,118.9191053,121.7318808,121.8208732,120.3144511,119.4794447,120.9203891,119.733447,123.5666624,118.1761636,119.403225,119.3338968,121.1092609,120.7720679,121.6586449,120.7864447,120.4043115,122.968343,123.2715023,125.2436467,123.1713755,124.1668779,125.4743674,124.6500359,125.4115383,124.793112,124.1159688,124.682519,126.1114116,129.1771426,131.7004447,129.6983545,131.8562942,131.6837932,131.2779642,129.597124,130.0517071,132.0307033,132.2153381,134.2055933,134.1276358,132.8177143,136.5673744,133.5431384,131.7569021,133.4449548,130.903858,133.9042248,132.5735817,132.6571385,133.0072232,130.366817,129.1195443,127.165502,129.7861085,128.3931848,126.5398081,126.4321542,113.2039099,111.0719058,114.8360553,126.9894192,129.2965227,129.8221022,133.253986,136.3101148,136.6078662,138.4307649,135.3942004,142.6276674,139.3251126,138.6647187,139.9931339,138.2096825,139.8367989,140.835599,140.6353617,145.7655298,149.3193813,149.4454375,147.941626,159.2551625,151.6178651
    United Kingdom,mgz_gb_qnmi_sn,587.3068539,,95.70829879,98.31371725,97.83997366,100.1069951,101.0899933,99.47177268,103.0823542,100.6592875,104.4158926,102.5830681,106.7312305,105.1879893,104.6684994,103.8407639,103.8827707,101.7297466,101.4400138,105.6537436,101.1444523,102.4459502,102.9547864,103.0199654,101.879747,101.2359559,100.1547042,101.7027537,103.5045516,103.6177669,103.7085876,103.5162026,103.890116,103.0049854,101.3455558,102.5667144,103.393152,99.43484626,100.6354823,99.98521717,98.98940831,98.35608765,99.20542251,98.21914984,99.6531476,97.92547006,99.05217409,101.0777687,102.5814091,102.7213699,101.8757535,101.711048,102.1702527,102.925405,103.1533862,102.7033634,104.7185604,103.6396012,102.75546,106.7312551,104.6932698,104.8655116,105.8434358,104.1867195,103.7725993,108.3687729,108.3793205,107.8176774,109.9306142,109.7461391,111.4812505,114.8248179,115.523076,117.7450806,121.3883298,125.5793632,126.7815888,131.02147,135.4836329,127.5385546,114.6274271,114.5255059,111.6643732,109.0791948,113.4584336,114.7612749,111.846289,113.3635879,116.013769,111.5663714,111.7058975,115.0977844,113.9001133,112.2558065,116.4253844,114.7033311,116.4972122,114.5333595,115.6477902,117.2457945,112.872702,107.5660672,109.162648,109.7925932,110.7256402,103.66728,102.3215718,101.2958056,98.24102214,92.46393675,92.22061166,94.1695791,97.69584337,92.00205706,87.24719157,90.513089,90.05511365,89.21408409,95.3004471,96.03569781,97.40933307,99.37144449,95.08596972,94.36032916,96.18543365,96.63975784,105.85618,106.161507,100.4390144,99.86383044,100.3562714,98.89871731,102.0767071,104.076282,102.4655788,96.97571633,97.86336033,95.57227517,104.3150765,97.61473797,102.7518759,101.4632468,101.390249,102.0586923,103.8713393,101.1761545,102.2289206,102.5998423,101.641463,103.4622855,100.613662,99.50106824,101.3369974,110.6833422,117.2948277,108.1018728,99.64182639,106.0948985,98.77197407,97.20532718,98.40950134,94.59218478,95.59714344,99.85716071,97.70311175,98.34876339,100.2824659,99.54612541,104.1230718,99.56245861,99.50184566,96.69391738,96.71762837,98.96099469,101.9061595,100.0005778,108.6837077,103.0219126,103.351933,101.5342017,101.4594854,111.074642,104.2215833,107.1128853,104.2941242,103.1749937,104.413932,103.9402605,104.2539518,104.2238221,103.7862144,109.6218436,106.6692949,101.4786206,103.7606947,108.1033834,114.7201707,117.9808213,112.5601508,116.0848374,115.4223821,118.8728167,119.7235365,103.2831485,106.715454,106.4463791,102.0640941,103.8349731,105.8819513,105.3760943,107.695928,105.3750935,104.9946885,112.3552888,114.4547361,108.8291975,103.4195049,107.7396206,108.8811947,99.54306813,102.2287081,100.7346224,101.3074233,101.7103789,102.4500865,104.0717019,99.45643546,103.6517565,105.2048627,106.5347248,111.7838933,109.9261225,112.0516014,100.1652711,99.75396601,98.39141877,110.3007518,114.7275158,111.9378115,114.7635282,101.3641516,99.3385014,98.54839074,100.1334887,92.92219221,74.22728503,71.73274678,84.14635012,89.54647309,90.69226512,100.3338738,105.0737534,110.9080442,118.6203036,91.35764659,96.47003704,96.08211194,97.9164068,97.2176278,100.6267444,101.4514064,99.91768929,103.2959775,97.85731887,101.6004108,105.2844147,118.4122113,117.2253146,120.9195948,117.3332143
